"","trial","accent","stress","type","target","stressed.syllable.L1","stressed.syllable.L2","L1.L2","Nsyllables_correct","condition","stressSCORE","sDURz","peakAMPz","peakF0z","peakDEC","stressed_mistimingL2L1","correct","asynchrony","asynchrony_L2L1","time_syl_L2","time_syl_L1","time_stress","time_beat","stressed_syllable","syllables_detected","ppn","stressed_mistiming_raw"
"74","C4.I.11","no","same","-written accent, -stress difference","ensalada",2,3,-1,4,"nogesture",1.20398421075203,1.65838920098721,1.17866898405943,0.811378817232222,-0.00873653285111686,0,"L2 correct",326,326,1521,1431,1521,1847,3,4,"Pilot_PPN_1",0
"75","C4.I.12","no","same","-written accent, -stress difference","chocolate",3,3,0,4,"nogesture",1.50433908000411,1.29468365819548,2.07286446983134,1.19105514471292,-0.00614373178996175,0,"L2 correct",100,100,1195,1195,1195,1295,3,4,"Pilot_PPN_1",0
"76","C4.I.13","no","same","-written accent, -stress difference","limonada",3,3,0,4,"nogesture",1.25158105551206,0.395034933675013,2.50106782782401,0.896567103689034,-0.0089645480109084,-416,"L2 incorrect & L1 mismatch",481,481,1636,1636,1220,1701,1,4,"Pilot_PPN_1",0
"77","C4.I.14","no","same","-written accent, -stress difference","restaurante",3,3,0,4,"nogesture",1.26447821094766,1.60938495454542,1.39409564974685,0.828271550094571,-1.98139935085169,0,"L2 correct",386,386,1671,1671,1671,2057,3,4,"Pilot_PPN_1",0
"78","C4.I.15","no","same","-written accent, -stress difference","blusa",1,1,0,2,"nogesture",1.54032803656467,1.07828368779662,2.36415403412153,1.22522299494449,-1.19074777787455,0,"L2 correct",361,361,1005,1005,1005,1366,1,2,"Pilot_PPN_1",0
"79","C4.I.16","no","same","-written accent, -stress difference","cabina",2,2,0,3,"nogesture",1.31968250973338,1.43693587891926,1.50762658753015,1.05447544183356,-0.0137443354390143,0,"L2 correct",-20,-20,1361,1361,1361,1341,2,3,"Pilot_PPN_1",0
"80","C4.I.17","no","same","-written accent, -stress difference","familia",2,2,0,3,"nogesture",1.11276742085094,1.17677626588086,1.38083133782307,0.814414883723148,-0.0113558955276858,0,"L2 correct",171,171,1190,1190,1190,1361,2,3,"Pilot_PPN_1",0
"81","C4.I.18","no","same","-written accent, -stress difference","canal",2,2,0,2,"nogesture",0.772580395836716,0.68759550410484,1.061888484117,0.591668726434871,-0.00646754557396889,0,"L2 correct",50,50,1155,1155,1155,1205,2,2,"Pilot_PPN_1",0
"82","C4.I.19","no","same","-written accent, -stress difference","centro",1,1,0,2,"nogesture",1.56903119980943,0.953255292234936,2.49563202902669,1.30575267816089,-0.220528126002364,0,"L2 correct",186,186,1210,1210,1210,1396,1,2,"Pilot_PPN_1",0
"83","C4.I.20","no","same","-written accent, -stress difference","insectos",2,2,0,3,"nogesture",2.16236237200695,1.83319071133427,3.01026530634149,1.70915723083015,-0.283611695797845,-255,"L2 incorrect & L1 mismatch",561,561,1275,1275,1020,1581,1,3,"Pilot_PPN_1",0
"84","C4.E.21","no","same","-written accent, -stress difference","planeta",2,2,0,3,"nogesture",1.16117890786588,1.53320886382725,1.23247891271319,0.753036186689519,-0.00636017945339518,0,"L2 correct",311,311,1145,1145,1145,1456,2,3,"Pilot_PPN_1",0
"85","P.C1.1","yes","difference","+written accent, +stress difference","simpático",3,2,1,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"86","P.C1.2","yes","difference","+written accent, +stress difference","símbolo",2,1,1,3,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"87","P.C1.3","yes","difference","+written accent, +stress difference","kilómetro",3,2,1,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"88","P.C2.1","no","difference","-written accent, +stress difference","carnaval",1,3,-2,3,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"89","P.C2.2","no","difference","-written accent, +stress difference","democracia",4,3,1,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"90","P.C2.3","no","difference","-written accent, +stress difference","voleibol",1,3,-2,3,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"91","P.C3.1","yes","same","+written accent, -stress difference","económico",3,3,0,5,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92","P.C3.2","yes","same","+written accent, -stress difference","energía",3,3,0,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93","P.C3.3","yes","same","+written accent, -stress difference","ecología",4,4,0,5,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"94","P.C4.1","no","same","-written accent, -stress difference","mandarina",3,3,0,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"95","P.C4.2","no","same","-written accent, -stress difference","sistema",2,2,0,3,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"96","P.C4.3","no","same","-written accent, -stress difference","bailarina",3,3,0,4,"nogesture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"97","C1.I.1","yes","difference","+written accent, +stress difference","análisis",3,2,1,4,"gesture",1.37023896998257,1.74075113505971,1.35609376837605,1.05539439954173,-1.01290249866122,0,"L2 correct",15,-15,1280,1406,1280,1295,2,4,"Pilot_PPN_1",0
